Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Wild,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
1,19:00,5v5,MIN,25,w,24,25,29,or,ol,opl,,,,,,,,0,1,20011,10/8/2015,COL,MIN,1,40,,64,29,11,24,25,40,,29,40,92,2,16,1
1,18:55,5v5,COL,29,w,92,,,dl,,,,y,,,,,,0,40,20011,10/8/2015,COL,MIN,20,,,64,29,11,24,25,40,,29,40,92,2,16,1
1,18:19,5v5,MIN,44,w,3,24,44,nr,dr,df,,,,,,,,0,1,20011,10/8/2015,COL,MIN,,,,3,44,26,20,46,40,,34,71,96,4,5,1
1,18:12,5v5,MIN,3,o,26,20,46,oelc,or,ol,y,y,,,,,,0,1,20011,10/8/2015,COL,MIN,,,,3,44,26,20,46,40,,34,71,96,4,5,1
1,17:50,5v5,MIN,3,w,44,,,dr,,,,,,,,,,0,1,20011,10/8/2015,COL,MIN,,,,44,7,56,20,46,40,,34,71,96,2,16,1
1,17:20,5v5,COL,55,w,7,2,,dl,dl,,,y,,,,,,0,40,20011,10/8/2015,COL,MIN,,,,18,7,56,5,6,40,,7,8,55,2,16,1
1,17:09,5v5,COL,55,t,16,7,,ol,opl,,y,y,,,,,,0,40,20011,10/8/2015,COL,MIN,,,,18,7,56,5,6,40,,7,8,55,2,16,1
1,16:31,5v5,COL,12,o,14,9,,or,or,,y,,,,,,,0,40,20011,10/8/2015,COL,MIN,,,,18,7,56,5,6,40,,9,12,14,6,32,1
1,16:03,5v5,COL,12,w,14,6,,oelc,or,,y,,,,,,,0,40,20011,10/8/2015,COL,MIN,,,,18,7,56,5,6,40,,9,12,14,6,32,1
1,15:26,5v5,MIN,11,w,46,,,nc,,,,,,,,,,0,1,20011,10/8/2015,COL,MIN,,,,64,29,11,20,46,40,,29,40,92,4,5,1
1,15:00,5v5,MIN,20,o,22,,,oelpc ,,,,,,,,,,0,1,20011,10/8/2015,COL,MIN,,,,9,22,16,20,46,40,,34,71,96,6,32,1
1,14:37,5v5,MIN,20,w,46,16,,or,opr,,,,,,,,,0,1,20011,10/8/2015,COL,MIN,,,,9,22,16,20,46,40,,34,71,96,6,32,1
1,13:59,5v5,MIN,26,b,44,,,ol,,,,y,,,,,,0,1,20011,10/8/2015,COL,MIN,,,,3,44,26,24,25,40,,7,8,55,2,16,1
1,13:33,5v5,MIN,24,s,26,3,,opl,nr,,,,,,,,,0,1,20011,10/8/2015,COL,MIN,,,,3,44,26,24,25,40,,7,8,55,2,16,1
1,11:43,5v5,MIN,24,w,7,,,or,,,,,,,,,,0,1,20011,10/8/2015,COL,MIN,,,,18,7,56,24,25,40,,7,34,96,4,5,1
1,11:24,5v5,MIN,24,s,25,56,,ol,opl,,,,,,,,,0,1,20011,10/8/2015,COL,MIN,,,,18,7,56,24,25,40,,7,34,96,4,5,1
1,11:03,5v5,COL,9,w,12,16,,nc,dl,,,,,,,,,0,40,20011,10/8/2015,COL,MIN,,,,3,44,26,5,6,40,,9,12,14,2,16,1
1,10:29,5v5,COL,29,s,16,,,nc,,,,y,,,,,,0,40,20011,10/8/2015,COL,MIN,,,,3,64,11,5,6,40,,29,14,40,6,32,1
1,10:14,5v5,MIN,11,w,64,,,ol,,,,y,,,,,,0,1,20011,10/8/2015,COL,MIN,,,,64,29,11,20,46,40,,29,40,92,6,32,1
1,10:10,5v5,MIN,20,w,64,,,of,,,,,,,,,,0,1,20011,10/8/2015,COL,MIN,,,,64,29,11,20,46,40,,29,40,92,6,32,1
1,9:50,5v5,MIN,9,s,16,,,nr,,,,,,,,,,0,1,20011,10/8/2015,COL,MIN,,,,9,29,16,20,46,40,,29,40,92,6,32,1
1,8:47,5v5,MIN,18,w,24,,,dc,,,,y,,,,,,0,1,20011,10/8/2015,COL,MIN,,,,18,7,56,24,25,40,,9,12,14,4,5,1
1,8:31,5v5,MIN,24,o,7,18,24,oelpc,oell,or,,y,,,,,,0,1,20011,10/8/2015,COL,MIN,,,,18,7,56,24,25,40,,9,12,14,4,5,1
1,8:28,5v5,MIN,5,w,44,3,,or,of,,,,,,,,,0,1,20011,10/8/2015,COL,MIN,,,,3,44,26,5,6,40,,29,40,92,4,5,1
1,8:12,5v5,MIN,16,w,11,64,,opc,of,,,,,,,,,0,1,20011,10/8/2015,COL,MIN,,,,64,29,11,20,46,40,,29,40,92,2,16,1
1,7:51,5v5,COL,14,w,2,,,dr,,,,y,,,,,,0,40,20011,10/8/2015,COL,MIN,,,,64,29,11,20,46,40,,9,12,14,2,16,1
1,7:46,5v5,COL,12,w,14,,,oelc,,,,,,,,,,0,40,20011,10/8/2015,COL,MIN,,,,64,29,11,20,46,40,,9,12,14,2,16,1
1,7:19,5v5,MIN,22,w,9,,,of,,,y,,,,,,,0,1,20011,10/8/2015,COL,MIN,,,,9,22,16,5,6,40,,7,34,71,6,32,1
1,6:45,5v5,MIN,9,w,6,5,,dl,dc,,,y,,,,,,0,1,20011,10/8/2015,COL,MIN,,,,44,22,16,24,25,40,,7,34,71,4,5,1
1,6:29,6v5,COL,29,w,7,,,opl,,,,,,,,,,0,40,20011,10/8/2015,COL,MIN,,,,18,56,6,24,40,0,,29,12,40,92,4,1
1,6:20,5v4,COL,12,o,29,4,29,orrr,or,of,y,y,,y,,,,0,40,20011,10/8/2015,COL,MIN,,,,18,56,6,24,40,0,,29,12,40,92,4,1
1,5:55,5v5,MIN,46,w,44,,,dl,,,,y,,,,,,1,1,20011,10/8/2015,COL,MIN,,,,3,44,26,20,46,40,,34,8,55,2,16,1
1,5:31,5v5,COL,92,s,40,92,,nc,dc,,,,,,,,,1,40,20011,10/8/2015,COL,MIN,,,,64,29,11,20,46,40,,29,40,92,2,16,1
1,5:09,5v5,MIN,11,b,29,64,29,oc,nl,nl,y,y,,,,,,1,1,20011,10/8/2015,COL,MIN,,,,64,29,11,5,24,40,,29,40,92,4,5,1
1,4:43,5v5,COL,12,w,16,9,12,ol,oelpl,or,,,,,,,,1,40,20011,10/8/2015,COL,MIN,,,,64,29,11,24,25,40,,9,12,14,2,16,1
1,4:37,5v5,MIN,11,w,29,,,dsr,,,,,,,,,,1,1,20011,10/8/2015,COL,MIN,,,,64,29,11,24,25,40,,9,12,14,2,16,1
1,4:15,5v5,COL,9,w,14,,,oc,,,y,,,,,,,1,40,20011,10/8/2015,COL,MIN,,,,64,22,16,5,6,40,,9,12,14,6,32,1
1,4:04,5v5,COL,6,w,32,9,,ol,opl,,,,,,,,,1,40,20011,10/8/2015,COL,MIN,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,3:43,5v5,MIN,9,w,22,,,oelc,,,y,y,,,16,y,,1,1,20011,10/8/2015,COL,MIN,,,,9,22,16,20,46,40,,34,71,96,6,32,1
1,2:36,5v4,COL,6,s,32,6,34,ol,or,opr,y,y,,y,,,,1,40,20011,10/8/2015,COL,MIN,,,,16,56,6,25,40,0,,7,9,34,6,32,1
1,2:13,5v5,COL,8,b,55,,,oelc,,,y,y,,,,,,2,40,20011,10/8/2015,COL,MIN,,,,64,29,11,20,46,40,,7,8,55,2,16,1
1,2:02,5v5,COL,29,w,40,92,,orrc,oc,,y,y,,,,,,2,40,20011,10/8/2015,COL,MIN,,,,3,44,26,24,25,40,,29,40,92,4,5,1
1,1:51,5v5,COL,40,w,29,,,ol,,,,,,,,,,2,40,20011,10/8/2015,COL,MIN,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,1:06,5v5,COL,92,w,32,29,,ol,opl,,y,y,,y,,,,2,40,20011,10/8/2015,COL,MIN,,,,3,44,26,24,25,40,,29,12,92,4,32,1
1,0:31,5v5,MIN,22,w,16,,,oc,,,,,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,9,22,16,20,46,40,,9,12,14,6,32,1
2,19:29,4v4,MIN,25,w,29,20,9,oc,or,oc,,,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,19:09,4v4,MIN,24,s,64,25,,oc,dl,,,,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,64,11,24,25,40,0,,7,34,2,16,1,0
2,18:59,4v4,MIN,25,w,24,25,64,ol,or,of,,y,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,64,11,24,25,40,0,,7,34,2,16,1,0
2,18:51,4v4,MIN,11,a,64,24,,ol,opl,,,y,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,64,11,24,25,40,0,,7,34,2,16,1,0
2,17:51,5v5,MIN,44,w,3,,,nc,,,,,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,3,44,26,5,6,40,,9,12,14,4,5,1
2,17:12,5v5,MIN,16,w,46,,,or,,,y,y,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,9,22,16,20,46,40,,29,40,92,4,5,1
2,17:02,5v5,MIN,9,w,22,,,opr,,,,,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,9,22,16,20,46,40,,29,40,92,4,5,1
2,16:52,5v5,MIN,16,w,22,46,,oelc,orrc,,y,y,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,9,22,16,20,46,40,,29,40,92,4,5,1
2,16:35,5v5,MIN,46,w,64,,,ofp,,,,,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,64,29,11,20,46,40,,7,8,55,6,32,1
2,15:14,5v5,COL,71,w,34,96,,nl,dl,,y,,2 on 1,,,,,3,40,20011,10/8/2015,COL,MIN,,,,3,44,26,24,25,40,,34,71,96,2,16,1
2,14:24,5v5,COL,29,w,92,32,,nl,dl,,,y,,,,,,3,40,20011,10/8/2015,COL,MIN,,,,9,22,16,20,46,40,,29,40,92,6,32,1
2,14:10,5v5,MIN,29,o,64,29,,or,nr,,y,,4 on 2,,,,,3,1,20011,10/8/2015,COL,MIN,,,,64,29,11,5,6,40,,29,40,92,6,32,1
2,14:03,5v5,MIN,29,w,5,29,,oc,opr,,y,y,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,64,29,11,5,6,40,,29,40,92,6,32,1
2,13:57,5v5,MIN,20,w,64,,,of,,,,,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,64,29,11,20,46,40,,9,12,14,4,5,1
2,13:31,5v5,COL,5,w,14,,,opl,,,,,,,,,,3,40,20011,10/8/2015,COL,MIN,,,,64,29,11,20,46,40,,9,12,14,4,5,1
2,13:06,5v5,MIN,11,w,64,29,46,oc,or,nr,y,y,3 on 2,y,,,,3,1,20011,10/8/2015,COL,MIN,,,,64,29,11,5,6,40,,9,12,55,4,5,1
2,12:31,5v5,MIN,24,o,25,44,3,or,opr,or,,,,,,,,2,1,20011,10/8/2015,COL,MIN,,,,9,22,16,24,25,40,,7,34,55,6,32,1
2,12:28,5v5,MIN,24,w,9,,,of,,,,,,,,,,2,1,20011,10/8/2015,COL,MIN,,,,9,22,16,24,25,40,,7,34,55,6,32,1
2,12:00,5v5,COL,7,w,34,,,or,,,y,y,,,,,,2,40,20011,10/8/2015,COL,MIN,,,,9,22,16,24,25,40,,7,34,55,6,32,1
2,11:55,5v5,COL,7,t,6,,,or,,,y,y,,,7,y,y,2,40,20011,10/8/2015,COL,MIN,,,,9,22,16,24,25,40,,7,34,55,6,32,1
2,10:39,5v5,COL,29,w,92,,,nr,,,y,,,,,,,3,40,20011,10/8/2015,COL,MIN,,,,64,29,11,5,6,40,,29,40,92,2,16,1
2,7:52,5v5,COL,6,w,32,7,8,or,oelpr,ol,,,,,,,,3,40,20011,10/8/2015,COL,MIN,,,,9,22,16,24,25,40,,7,8,55,2,32,1
2,7:31,5v5,MIN,46,o,20,64,,or,of,,,,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,64,29,11,20,46,40,,29,40,92,2,16,1
2,6:44,5v5,MIN,64,w,46,20,11,orrr,ol,opl,y,,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,64,29,11,20,46,40,,29,40,92,2,16,1
2,6:36,5v5,COL,40,o,2,92,,orrc,opl,,y,y,3 on 2,,,,,3,40,20011,10/8/2015,COL,MIN,,,,18,64,11,20,46,40,,34,40,92,2,4,1
2,6:10,5v5,COL,4,w,34,,,or,,,,y,,,,,,3,40,20011,10/8/2015,COL,MIN,,,,18,7,56,6,20,40,,34,71,96,2,4,1
2,5:59,5v5,MIN,18,w,7,,,dc,,,,,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,18,7,56,5,6,40,,34,71,96,4,5,1
2,5:52,5v5,MIN,6,w,56,,,oell,,,,,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,18,7,56,5,6,40,,34,71,96,4,5,1
2,5:47,5v5,MIN,5,o,56,7,,opr,oelc,,,,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,18,7,56,5,6,40,,34,71,96,4,5,1
2,5:14,5v5,COL,4,w,34,,,nc,,,,y,,,14,y,,3,40,20011,10/8/2015,COL,MIN,,,,3,44,26,5,6,40,,34,12,14,4,5,1
2,5:01,5v5,MIN,3,w,44,,,nr,,,,,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,3,44,26,5,6,40,,9,12,14,6,32,1
2,3:12,5v5,MIN,20,s,64,,,nf,,,,y,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,64,29,11,20,46,40,,29,40,92,2,16,1
2,1:31,5v4,MIN,20,o,64,20,11,oc,oc,opr,,,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,9,64,29,11,20,40,,34,55,6,32,1,0
2,1:26,5v4,MIN,11,o,20,64,,oc,opl,,y,,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,9,64,29,11,20,40,,34,55,6,32,1,0
2,0:58,5v4,MIN,24,o,46,11,46,oc,opr,or,,,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,19:26,5v5,COL,14,s,6,32,,dsr,nc,,,,,,,,,3,40,20011,10/8/2015,COL,MIN,,,,9,22,16,20,46,40,,9,14,40,2,16,1
3,19:12,5v5,COL,9,t,14,6,,or,or,,,y,,,,,,3,40,20011,10/8/2015,COL,MIN,,,,9,22,16,20,46,40,,9,14,40,2,16,1
3,17:12,5v5,MIN,6,w,56,,,oelpl,,,,,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,15:10,5v5,MIN,25,s,11,29,,oelpc,oelr,,,,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,64,29,11,24,25,40,,29,40,92,4,5,1
3,14:56,5v5,MIN,24,s,11,,,opr,,,,,,,,,,3,1,20011,10/8/2015,COL,MIN,,,,64,29,11,24,25,40,,29,40,92,4,5,1
3,14:54,5v5,MIN,11,w,29,,,oc,,,y,y,,y,,,,3,1,20011,10/8/2015,COL,MIN,,,,64,29,11,24,25,40,,29,40,92,4,5,1
3,13:48,5v5,COL,8,w,,,,,,,y,y,,,7,,,2,40,20011,10/8/2015,COL,MIN,,,,3,44,26,20,46,40,,7,8,55,2,16,1
3,13:33,5v5,COL,12,w,7,16,,opl,ol,,,,,,,,,2,40,20011,10/8/2015,COL,MIN,,,,3,44,26,20,46,40,,7,12,55,16,32,1
3,13:22,5v5,MIN,29,w,20,,,dc,,,,,,,,,,2,1,20011,10/8/2015,COL,MIN,,,,3,44,26,20,46,40,,7,12,55,16,32,1
3,12:55,5v5,MIN,22,w,16,22,,oelc,or,,y,y,,y,,,,2,1,20011,10/8/2015,COL,MIN,,,,9,22,16,5,6,40,,9,12,14,6,32,1
3,12:38,5v5,MIN,29,w,11,,,nl,,,,,,,,,,1,1,20011,10/8/2015,COL,MIN,,,,64,29,11,24,25,40,,29,34,40,4,5,1
3,12:28,5v5,MIN,29,o,11,,,oelc,,,y,y,,,,,,1,1,20011,10/8/2015,COL,MIN,,,,64,29,11,24,25,40,,7,29,40,4,5,1
3,12:22,5v5,MIN,29,s,25,,,or,,,,,,,,,,1,1,20011,10/8/2015,COL,MIN,,,,64,29,11,24,25,40,,7,29,40,4,5,1
3,12:18,5v5,MIN,22,w,9,,,of,,,y,,,,,,,1,1,20011,10/8/2015,COL,MIN,,,,9,22,16,20,46,40,,34,8,55,6,32,1
3,12:00,5v5,COL,8,w,6,34,,dl,dc,,,,,,,,,1,40,20011,10/8/2015,COL,MIN,,,,9,18,16,20,46,40,,34,8,55,6,32,1
3,11:27,5v5,MIN,26,w,6,5,,ol,or,,,,,,,,,1,1,20011,10/8/2015,COL,MIN,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,11:00,5v5,MIN,6,w,3,,,or,,,y,y,,,,,,1,1,20011,10/8/2015,COL,MIN,,,,3,44,26,5,6,40,,9,12,14,2,16,1
3,10:42,5v5,MIN,26,w,64,3,,orrc,nc,,y,y,,y,,,,1,1,20011,10/8/2015,COL,MIN,,,,64,29,26,24,25,40,,9,40,92,2,16,1
3,10:15,5v4,MIN,20,o,64,20,9,opl,or,oc,,,,,,,,0,1,20011,10/8/2015,COL,MIN,,,,9,64,29,11,20,40,,7,34,6,32,1,0
3,9:46,5v4,MIN,11,o,20,11,20,oc,opr,oc,y,y,,y,,,,0,1,20011,10/8/2015,COL,MIN,,,,9,64,29,11,20,40,,7,34,6,32,1,0
3,7:58,5v5,MIN,6,w,5,64,11,or,opr,or,,,,,,,,-1,1,20011,10/8/2015,COL,MIN,,,,64,29,11,5,6,40,,9,12,92,2,4,1
3,5:48,5v5,COL,32,w,14,9,,opr,of,,,y,,,,,,-1,40,20011,10/8/2015,COL,MIN,,,,9,16,26,20,46,40,,9,12,14,6,32,1
3,5:12,5v5,COL,6,w,92,32,,dl,dl,,,,,,,,,-1,40,20011,10/8/2015,COL,MIN,,,,64,29,11,24,25,40,,29,40,92,2,6,1
3,4:52,5v5,MIN,11,w,64,,,ol,,,y,,,,,,,-1,1,20011,10/8/2015,COL,MIN,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,4:32,5v5,MIN,29,o,64,,,oelc,,,y,,,,,,,-1,1,20011,10/8/2015,COL,MIN,,,,64,29,11,20,46,40,,29,40,92,2,4,1
3,4:26,5v5,MIN,20,w,46,29,,or,opr,,,,,,,,,-1,1,20011,10/8/2015,COL,MIN,,,,64,29,11,20,46,40,,29,40,92,2,4,1
3,4:12,5v5,COL,12,w,9,14,,oc,dl,,,,,,,,,-1,40,20011,10/8/2015,COL,MIN,,,,3,44,26,24,25,40,,9,12,14,6,16,1
3,2:51,5v5,COL,29,w,92,29,32,nl,dc,dl,,,,,,,,-1,40,20011,10/8/2015,COL,MIN,,,,64,29,11,6,25,40,,29,40,92,4,32,1
3,1:33,6v5,COL,29,w,12,92,,orrc,oc,,y,y,,,,,,-1,40,20011,10/8/2015,COL,MIN,,,,3,9,16,20,46,40,,29,12,40,55,92,4
3,1:27,6v5,COL,4,w,92,29,,opl,of,,,,,,,,,-1,40,20011,10/8/2015,COL,MIN,,,,3,64,11,6,25,40,,29,12,40,55,92,4
3,0:02,6v5,COL,4,w,34,32,7,or,nc,dl,y,,,,,,,-1,40,20011,10/8/2015,COL,MIN,,,,3,64,11,20,46,40,,7,9,34,14,4,32
1,19:41,5v5,MIN,29,w,3,,,orrr,,,y,,,,,,,0,30,20207,11/7/2015,MIN,T.B,40,30,,3,64,29,20,46,40,,13,90,24,5,25,30
1,16:54,5v5,MIN,46,s,46,,,opr,,,,y,,,,,,0,30,20207,11/7/2015,MIN,T.B,35,88,,9,22,16,20,46,40,,51,91,18,5,25,30
1,15:16,5v5,MIN,18,w,6,,,dl,,,,y,,,,,,0,30,20207,11/7/2015,MIN,T.B,,,,3,18,29,24,25,40,,9,90,86,55,62,30
1,15:05,5v5,T.B,17,w,9,,,nr,,,y,,,,,,,0,40,20207,11/7/2015,MIN,T.B,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,14:48,5v4,T.B,91,o,86,18,91,orrr,oelc,ol,y,y,,,,,,0,40,20207,11/7/2015,MIN,T.B,,,,9,56,20,46,40,0,,9,91,86,18,6,30
1,14:42,5v4,T.B,9,t,91,6,86,ol,or,opr,y,y,,,18,y,,0,40,20207,11/7/2015,MIN,T.B,,,,9,56,20,46,40,0,,9,91,86,18,6,30
1,13:25,5v4,T.B,9,w,91,6,9,orrr,oc,ol,y,,,,,,,0,40,20207,11/7/2015,MIN,T.B,,,,3,16,20,46,40,0,,9,91,86,18,6,30
1,13:10,5v4,T.B,6,s,9,91,18,oc,opl,oelc,,,,,,,,0,40,20207,11/7/2015,MIN,T.B,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,12:59,5v5,T.B,9,w,18,6,9,orrr,or,ol,y,y,,,,,,0,40,20207,11/7/2015,MIN,T.B,,,,3,29,16,20,46,40,,9,91,86,18,6,30
1,12:51,5v5,MIN,29,w,18,,,dr,,,,y,,,,,,0,30,20207,11/7/2015,MIN,T.B,,,,3,29,16,20,46,40,,9,91,86,18,6,30
1,12:42,5v5,MIN,6,s,29,,,opl,,,,,,,,,,0,30,20207,11/7/2015,MIN,T.B,,,,9,29,16,6,25,40,,9,86,18,6,25,30
1,10:37,5v5,MIN,9,o,16,,,ol,,,y,y,,,,,,0,30,20207,11/7/2015,MIN,T.B,,,,9,22,16,20,46,40,,13,90,24,5,77,30
1,9:19,5v5,MIN,9,w,16,,,ol,,,,,,,,,,0,30,20207,11/7/2015,MIN,T.B,,,,9,22,16,20,46,40,,51,91,18,6,77,30
1,8:31,5v5,T.B,25,w,17,9,86,oc,dr,dr,,y,,,9,,,0,40,20207,11/7/2015,MIN,T.B,,,,47,26,56,24,25,40,,9,17,86,5,25,30
1,8:26,5v5,T.B,5,s,86,,,opl,,,,y,,,,,,0,40,20207,11/7/2015,MIN,T.B,,,,47,26,56,24,25,40,,9,17,86,5,25,30
1,8:02,5v5,T.B,17,t,25,9,62,ol,ol,ol,y,,,,,,,0,40,20207,11/7/2015,MIN,T.B,,,,47,26,56,24,25,40,,9,17,86,25,62,30
1,7:57,5v5,T.B,86,t,62,9,,or,opr,,y,,,,,,,0,40,20207,11/7/2015,MIN,T.B,,,,47,26,56,24,25,40,,9,17,86,55,62,30
1,7:28,5v5,MIN,5,o,29,64,6,oelpr,oelc,ol,,,,,3,y,,0,30,20207,11/7/2015,MIN,T.B,,,,3,64,29,5,6,40,,11,23,27,55,62,30
1,6:52,5v4,MIN,6,o,20,64,20,oc,ol,oc,y,y,,,,,,0,30,20207,11/7/2015,MIN,T.B,,,,9,64,29,6,20,40,,13,24,55,62,30,0
1,6:15,4v5,T.B,18,w,51,,,nl,,,,y,,,,,,0,40,20207,11/7/2015,MIN,T.B,,,,9,64,29,20,24,40,,51,18,6,77,30,0
1,5:43,5v4,MIN,24,o,46,26,,or,opr,,,y,,,,,,0,30,20207,11/7/2015,MIN,T.B,,,,22,16,26,24,46,40,,9,17,5,25,30,0
1,4:49,5v5,T.B,27,w,91,86,,dr,dr,,,,,,,,,0,40,20207,11/7/2015,MIN,T.B,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,2:49,5v5,T.B,6,o,17,,,or,,,y,y,,,,,,0,40,20207,11/7/2015,MIN,T.B,,,,3,64,22,6,46,40,,9,17,86,6,77,30
1,2:43,5v5,T.B,17,o,9,,,oelc,,,y,y,,,,,,0,40,20207,11/7/2015,MIN,T.B,,,,3,64,22,6,46,40,,9,17,86,6,77,30
1,1:48,5v5,T.B,51,w,11,25,,nl,dc,,,y,,,,,,0,40,20207,11/7/2015,MIN,T.B,,,,9,47,16,6,20,40,,11,51,18,5,25,30
